Country,CountryCode,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2006
Sao Tome and Principe,STP,GINI index,SI.POV.GINI,,,,,,,
Senegal,SEN,GINI index,SI.POV.GINI,,,,,40.3,,
Serbia,SRB,GINI index,SI.POV.GINI,29.4,28.16,27.8,29.62,,,29.63
Seychelles,SYC,GINI index,SI.POV.GINI,65.77,,,,,,
Sierra Leone,SLE,GINI index,SI.POV.GINI,,,,,35.35,,
Singapore,SGP,GINI index,SI.POV.GINI,,,,,,,
Slovak Republic,SVK,GINI index,SI.POV.GINI,28.13,26.86,26,,,,27.66
Slovenia,SVN,GINI index,SI.POV.GINI,,,,,,,
Solomon Islands,SLB,GINI index,SI.POV.GINI,,,,,,,
South Africa,ZAF,GINI index,SI.POV.GINI,,,63.14,,,,67.4
South Asia,SAS,GINI index,SI.POV.GINI,,,,,,,
South Sudan,SSD,GINI index,SI.POV.GINI,,,45.53,,,,
Spain,ESP,GINI index,SI.POV.GINI,,,,,,,
Sri Lanka,LKA,GINI index,SI.POV.GINI,40.26,,,36.4,,,
St. Lucia,LCA,GINI index,SI.POV.GINI,,,,,,,
Sub-Saharan Africa (developing only),SSA,GINI index,SI.POV.GINI,,,,,,,
Sudan,SDN,GINI index,SI.POV.GINI,,,35.29,,,,
Suriname,SUR,GINI index,SI.POV.GINI,,,,,,,
Swaziland,SWZ,GINI index,SI.POV.GINI,,,,51.49,,,
Sweden,SWE,GINI index,SI.POV.GINI,,,,,,,
Switzerland,CHE,GINI index,SI.POV.GINI,,,,,,,
Syrian Arab Republic,SYR,GINI index,SI.POV.GINI,,,,,,,
Tajikistan,TJK,GINI index,SI.POV.GINI,32.55,,30.83,,,,
Tanzania,TZA,GINI index,SI.POV.GINI,37.58,,,,,,
Thailand,THA,GINI index,SI.POV.GINI,,40.51,40.02,39.37,,,42.35
Timor-Leste,TMP,GINI index,SI.POV.GINI,,,,,,,
Togo,TGO,GINI index,SI.POV.GINI,,,,,39.29,,34.41
Trinidad and Tobago,TTO,GINI index,SI.POV.GINI,,,,,,,
Tunisia,TUN,GINI index,SI.POV.GINI,,,,36.06,,,
Turkey,TUR,GINI index,SI.POV.GINI,39.26,38.95,38.73,40.03,,,40.34
Turkmenistan,TKM,GINI index,SI.POV.GINI,,,,,,,
Uganda,UGA,GINI index,SI.POV.GINI,,,44.3,,,,42.62
Ukraine,UKR,GINI index,SI.POV.GINI,29.56,27.51,26.44,25.62,,,29.65
United Kingdom,GBR,GINI index,SI.POV.GINI,,,,,,,
United States,USA,GINI index,SI.POV.GINI,,,,,,,
Upper middle income,UMC,GINI index,SI.POV.GINI,,,,,,,
Uruguay,URY,GINI index,SI.POV.GINI,47.63,46.27,46.28,45.32,,,47.2
Uzbekistan,UZB,GINI index,SI.POV.GINI,,,,,,,
"Venezuela, RB",VEN,GINI index,SI.POV.GINI,,,,,,,44.77
Vietnam,VNM,GINI index,SI.POV.GINI,,35.57,,,,,35.75
West Bank and Gaza,WBG,GINI index,SI.POV.GINI,38.65,,35.5,,,,
"Yemen, Rep.",YEM,GINI index,SI.POV.GINI,,,,,,,
Zambia,ZMB,GINI index,SI.POV.GINI,,,,57.49,,,54.63
Zimbabwe,ZWE,GINI index,SI.POV.GINI,,,,,,,
