District ID,District Name,School ID,School Name,Domain,School Year,Number of Students Tested,level1,level2,level3
43,East Hartford School District,90,Woodland School,Creative / Aesthetic,2010-11,1,0,100,0
44,East Haven School District,14,D. C. Moore School,Creative / Aesthetic,2010-11,62,11.3,27.4,61.3
44,East Haven School District,18,Overbrook Elementary School,Creative / Aesthetic,2010-11,53,7.5,47.2,45.3
45,East Lyme School District,1,Flanders School,Creative / Aesthetic,2010-11,63,1.6,20.6,77.8
45,East Lyme School District,4,Lillie B. Haynes School,Creative / Aesthetic,2010-11,62,1.6,61.3,37.1
45,East Lyme School District,2,Niantic Center School,Creative / Aesthetic,2010-11,42,9.5,61.9,28.6
47,East Windsor School District,1,Broad Brook Elementary School,Creative / Aesthetic,2010-11,91,11,30.8,58.2
39,Eastford School District,1,Eastford Elementary School,Creative / Aesthetic,2010-11,23,0,8.7,91.3
46,Easton School District,1,Samuel Staples Elementary School,Creative / Aesthetic,2010-11,108,5.6,53.7,40.7
48,Ellington School District,1,Center School,Creative / Aesthetic,2010-11,78,1.3,6.4,92.3
48,Ellington School District,2,Crystal Lake School,Creative / Aesthetic,2010-11,44,0,13.6,86.4
48,Ellington School District,6,Windermere School,Creative / Aesthetic,2010-11,77,2.6,10.4,87
49,Enfield School District,13,Edgar H. Parkman School,Creative / Aesthetic,2010-11,48,0,14.6,85.4
49,Enfield School District,16,Eli Whitney School,Creative / Aesthetic,2010-11,54,1.9,9.3,88.9
49,Enfield School District,2,Enfield Street School,Creative / Aesthetic,2010-11,49,2,36.7,61.2
49,Enfield School District,12,Harriet Beecher Stowe School,Creative / Aesthetic,2010-11,31,0,25.8,74.2
49,Enfield School District,4,Hazardville Memorial School,Creative / Aesthetic,2010-11,48,0,41.7,58.3
49,Enfield School District,18,Henry Barnard School,Creative / Aesthetic,2010-11,73,6.8,50.7,42.5
49,Enfield School District,11,Nathan Hale School,Creative / Aesthetic,2010-11,32,6.3,93.8,0
49,Enfield School District,15,Prudence Crandall School,Creative / Aesthetic,2010-11,51,2,72.5,25.5
49,Enfield School District,17,Thomas G. Alcorn School,Creative / Aesthetic,2010-11,47,31.9,48.9,19.1
50,Essex School District,1,Essex Elementary School,Creative / Aesthetic,2010-11,55,0,29.1,70.9
51,Fairfield School District,2,Burr Elementary School,Creative / Aesthetic,2010-11,66,4.5,43.9,51.5
51,Fairfield School District,1,Dwight Elementary School,Creative / Aesthetic,2010-11,47,2.1,44.7,53.2
51,Fairfield School District,4,Holland Hill School,Creative / Aesthetic,2010-11,53,7.5,22.6,69.8
51,Fairfield School District,17,Jennings School,Creative / Aesthetic,2010-11,44,9.1,22.7,68.2
51,Fairfield School District,6,McKinley School,Creative / Aesthetic,2010-11,94,12.8,48.9,38.3
51,Fairfield School District,7,Mill Hill School,Creative / Aesthetic,2010-11,70,31.4,50,18.6
51,Fairfield School District,16,North Stratfield School,Creative / Aesthetic,2010-11,75,12,13.3,74.7
51,Fairfield School District,18,Osborn Hill School,Creative / Aesthetic,2010-11,89,2.2,3.4,94.4
51,Fairfield School District,12,Riverfield School,Creative / Aesthetic,2010-11,67,10.4,38.8,50.7
51,Fairfield School District,13,Sherman School,Creative / Aesthetic,2010-11,64,0,12.5,87.5
51,Fairfield School District,14,Stratfield School,Creative / Aesthetic,2010-11,93,0,23.7,76.3
52,Farmington School District,4,East Farms School,Creative / Aesthetic,2010-11,86,0,17.4,82.6
52,Farmington School District,2,Noah Wallace School,Creative / Aesthetic,2010-11,60,0,13.3,86.7
52,Farmington School District,1,Union School,Creative / Aesthetic,2010-11,55,1.8,36.4,61.8
52,Farmington School District,3,West District School,Creative / Aesthetic,2010-11,67,4.5,4.5,91
53,Franklin School District,1,Franklin Elementary School,Creative / Aesthetic,2010-11,20,0,40,60
54,Glastonbury School District,2,Buttonball Lane School,Creative / Aesthetic,2010-11,74,2.7,20.3,77
54,Glastonbury School District,3,Eastbury School,Creative / Aesthetic,2010-11,33,3,42.4,54.5
54,Glastonbury School District,4,Hebron Avenue School,Creative / Aesthetic,2010-11,63,6.3,42.9,50.8
54,Glastonbury School District,6,Hopewell School,Creative / Aesthetic,2010-11,63,1.6,25.4,73
54,Glastonbury School District,7,Naubuc School,Creative / Aesthetic,2010-11,74,6.8,31.1,62.2
54,Glastonbury School District,9,Nayaug Elementary School,Creative / Aesthetic,2010-11,94,3.2,37.2,59.6
56,Granby School District,1,Frank M. Kearns Primary School,Creative / Aesthetic,2010-11,110,0,3.6,96.4
57,Greenwich School District,2,Cos Cob School,Creative / Aesthetic,2010-11,69,5.8,44.9,49.3
57,Greenwich School District,4,Glenville School,Creative / Aesthetic,2010-11,81,1.2,22.2,76.5
57,Greenwich School District,5,Hamilton Avenue School,Creative / Aesthetic,2010-11,65,13.8,30.8,55.4
57,Greenwich School District,13,International School At Dundee,Creative / Aesthetic,2010-11,52,0,3.8,96.2
57,Greenwich School District,3,Julian Curtiss School,Creative / Aesthetic,2010-11,53,3.8,24.5,71.7
57,Greenwich School District,6,New Lebanon School,Creative / Aesthetic,2010-11,39,5.1,25.6,69.2
57,Greenwich School District,7,North Mianus School,Creative / Aesthetic,2010-11,67,3,20.9,76.1
57,Greenwich School District,8,North Street School,Creative / Aesthetic,2010-11,73,9.6,49.3,41.1
57,Greenwich School District,9,Old Greenwich School,Creative / Aesthetic,2010-11,66,3,7.6,89.4
57,Greenwich School District,11,Parkway School,Creative / Aesthetic,2010-11,41,0,4.9,95.1
57,Greenwich School District,10,Riverside School,Creative / Aesthetic,2010-11,85,2.4,32.9,64.7
58,Griswold School District,3,Griswold Elementary School,Creative / Aesthetic,2010-11,122,14.8,17.2,68
59,Groton School District,20,Catherine Kolnaski Magnet School,Creative / Aesthetic,2010-11,98,17.3,66.3,16.3
59,Groton School District,18,Charles Barnum School,Creative / Aesthetic,2010-11,69,5.8,63.8,30.4
59,Groton School District,3,Claude Chester School,Creative / Aesthetic,2010-11,59,20.3,61,18.6
59,Groton School District,17,Mary Morrisson School,Creative / Aesthetic,2010-11,60,6.7,41.7,51.7
59,Groton School District,19,Northeast Academy Elementary School,Creative / Aesthetic,2010-11,57,21.1,78.9,0
59,Groton School District,12,Pleasant Valley School,Creative / Aesthetic,2010-11,54,9.3,31.5,59.3
59,Groton School District,1,S. B. Butler School,Creative / Aesthetic,2010-11,37,2.7,5.4,91.9
60,Guilford School District,6,A. W. Cox School,Creative / Aesthetic,2010-11,71,7,50.7,42.3
60,Guilford School District,4,Calvin Leete School,Creative / Aesthetic,2010-11,62,1.6,4.8,93.5
60,Guilford School District,2,Guilford Lakes School,Creative / Aesthetic,2010-11,66,0,6.1,93.9
60,Guilford School District,3,Melissa Jones School,Creative / Aesthetic,2010-11,66,3,12.1,84.8
62,Hamden School District,12,Bear Path School,Creative / Aesthetic,2010-11,65,9.2,20,70.8
62,Hamden School District,2,Church Street School,Creative / Aesthetic,2010-11,53,47.2,41.5,11.3
62,Hamden School District,3,Dunbar Hill School,Creative / Aesthetic,2010-11,41,4.9,56.1,39
62,Hamden School District,4,Helen Street School,Creative / Aesthetic,2010-11,40,25,55,20
62,Hamden School District,11,Ridge Hill School,Creative / Aesthetic,2010-11,17,0,23.5,76.5
