District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
137,Stonington School District,51,Pawcatuck Middle School,2009-10,89,259.7,62.9,93.3
138,Stratford School District,3,Chapel School,2009-10,75,263.9,72,88
138,Stratford School District,13,Eli Whitney School,2009-10,80,271.3,85,98.8
138,Stratford School District,4,Franklin School,2009-10,60,240.9,48.3,75
138,Stratford School District,8,Lordship School,2009-10,38,257.9,55.3,78.9
138,Stratford School District,9,Nichols School,2009-10,65,285.6,84.6,95.4
138,Stratford School District,10,Second Hill Lane School,2009-10,88,257.7,67,95.5
138,Stratford School District,15,Stratford Academy - Johnson House,2009-10,109,288.8,78.9,93.6
138,Stratford School District,14,Wilcoxson School,2009-10,61,261.2,70.5,88.5
139,Suffield School District,51,Suffield Middle School,2009-10,202,291.6,92.6,97.5
140,Thomaston School District,2,Thomaston Center School,2009-10,90,261.3,68.9,92.2
141,Thompson School District,51,Thompson Middle School,2009-10,103,246.6,46.6,79.6
142,Tolland School District,51,Tolland Middle School,2009-10,247,291.9,92.3,97.6
143,Torrington School District,51,Torrington Middle School,2009-10,352,268.3,75.3,93.5
278,Trailblazers Academy District,51,Trailblazers Academy,2009-10,46,213,15.2,47.8
144,Trumbull School District,52,Hillcrest Middle School,2009-10,222,298.7,92.3,98.6
144,Trumbull School District,51,Madison Middle School,2009-10,298,283.1,86.6,97
145,Union School District,1,Union Elementary School,2009-10,,,,
146,Vernon School District,51,Vernon Center Middle School,2009-10,223,256.4,63.2,86.1
147,Voluntown School District,1,Voluntown Elementary School,2009-10,24,281.8,87.5,100
148,Wallingford School District,52,Dag Hammarskjold Middle School,2009-10,238,271.9,78.6,94.5
148,Wallingford School District,53,James H. Moran Middle School,2009-10,283,262.3,68.9,92.9
151,Waterbury School District,51,Michael F. Wallace Middle School,2009-10,410,235.4,38.3,67.8
151,Waterbury School District,53,North End Middle School,2009-10,351,222.7,28.5,59.8
151,Waterbury School District,50,Waterbury Arts Magnet School (Middle),2009-10,100,253.3,62,86
151,Waterbury School District,52,West Side Middle School,2009-10,323,236.6,41.8,70.3
152,Waterford School District,51,Clark Lane Middle School,2009-10,208,275.8,81.7,96.2
153,Watertown School District,51,Swift Middle School,2009-10,245,255.5,64.5,91
155,West Hartford School District,53,Bristow Middle School,2009-10,138,283.3,84.1,98.6
155,West Hartford School District,51,King Philip Middle School,2009-10,265,285.8,85.3,94.7
155,West Hartford School District,52,Sedgwick Middle School,2009-10,333,275.5,76,91.9
156,West Haven School District,53,Carrigan 5/6 Elementary School,2009-10,231,236.6,41.6,75.8
156,West Haven School District,51,Harry M. Bailey Middle School,2009-10,252,252.4,59.1,86.9
154,Westbrook School District,51,Westbrook Middle School,2009-10,63,259.4,71.4,90.5
157,Weston School District,51,Weston Middle School,2009-10,212,284.8,89.6,98.1
158,Westport School District,51,Bedford Middle School,2009-10,266,298.6,93.6,98.9
158,Westport School District,53,Coleytown Middle School,2009-10,171,303.4,91.2,97.1
159,Wethersfield School District,8,Alfred W. Hanmer School,2009-10,50,282,80,96
159,Wethersfield School District,10,Charles Wright School,2009-10,39,282.7,84.6,94.9
159,Wethersfield School District,2,Emerson-Williams School,2009-10,84,273.4,78.6,88.1
159,Wethersfield School District,11,Highcrest School,2009-10,69,300.3,95.7,98.6
159,Wethersfield School District,12,Samuel B. Webb Elementary School,2009-10,74,282.6,81.1,95.9
160,Willington School District,51,Hall Memorial School,2009-10,45,286,80,93.3
161,Wilton School District,52,Middlebrook School,2009-10,346,295.7,92.8,97.4
162,Winchester School District,5,Pearson Academy,2009-10,102,253.3,54.9,81.4
163,Windham School District,51,Windham Middle School,2009-10,229,217.5,26.6,52.8
165,Windsor Locks School District,51,Windsor Locks Middle School,2009-10,133,261.4,73.7,87.2
164,Windsor School District,53,Sage Park Middle School,2009-10,241,257.8,63.9,84.6
166,Wolcott School District,51,Tyrrell Middle School,2009-10,240,283.1,86.7,97.1
167,Woodbridge School District,2,Beecher Road Intermediate School,2009-10,115,294.8,89.6,96.5
169,Woodstock School District,51,Woodstock Middle School,2009-10,98,275.3,81.6,96.9
279,Amistad Academy District,51,Amistad Academy,2008-09,71,249.2,59.2,85.9
1,Andover School District,1,Andover Elementary School,2008-09,45,274.5,88.9,100
2,Ansonia School District,51,Ansonia Middle School,2008-09,169,260.3,69.8,88.8
244,Area Cooperative Educational Services,51,Thomas Edison Magnet Middle School,2008-09,232,238,43.5,73.7
244,Area Cooperative Educational Services,3,Wintergreen Interdistrict  Magnet School,2008-09,64,273.2,71.9,92.2
3,Ashford School District,1,Ashford School,2008-09,53,272.3,81.1,90.6
4,Avon School District,5,Thompson Brook School,2008-09,273,294.7,92.7,98.5
5,Barkhamsted School District,1,Barkhamsted Elementary School,2008-09,35,289.8,88.6,97.1
