District ID,School ID,District Name,School Name,School Year,Number of Students Tested ,Standard CAPT Score Summary Average Scale Score,Standard CAPT Score Summary Percent at/above goal level,Standard CAPT Score Summary Percent at/above proficient level,Standard CAPT Results by Below Basic,Standard CAPT Results by Basic,Standard CAPT Results by Proficient,Standard CAPT Results by Goal,Standard CAPT Results by Advanced,Assessment Participation Standard CAPT ,Assessment Participation Skills Checklist ,Assessment Participation Modified Assessment,Assessment Participation ELL Exempt ,Assessment Participation No Valid Score ,Assessment Participation Total Participation ,Assessment Participation Absent 
116,61,Putnam School District,Putnam High School,2006-07,93,241.1,28,73.1,2.2,24.7,45.2,22.6,5.4,98.9,1.1,N/A,0,0,100,0
201,61,Regional School District 01,Housatonic Valley Regional High School,2006-07,169,257.7,54.4,81.7,5.9,12.4,27.2,30.8,23.7,97.7,1.2,N/A,0,0.6,99.4,0.6
204,61,Regional School District 04,Valley Regional High School,2006-07,148,267.2,60.1,91.9,3.4,4.7,31.8,37.8,22.3,95.5,1.3,N/A,0,0,96.8,3.2
205,61,Regional School District 05,Amity Regional High School,2006-07,426,275,68.5,91.8,2.3,5.9,23.2,31.5,37.1,98.8,0.2,N/A,0.2,0.2,99.5,0.5
206,61,Regional School District 06,Wamogo Regional High School,2006-07,115,270.2,64.3,93,1.7,5.2,28.7,34.8,29.6,99.1,0.9,N/A,0,0,100,0
207,91,Regional School District 07,Aim,2006-07,,,,,,,,,,,,,,,,
207,92,Regional School District 07,Links,2006-07,,,,,,,,,,,,,,,,
207,61,Regional School District 07,Northwestern Regional High School,2006-07,199,276.7,71.9,96.5,0.5,3,24.6,38.7,33.2,99.5,0,N/A,0,0,99.5,0.5
207,93,Regional School District 07,Step,2006-07,,,,,,,,,,,,,,,,
208,61,Regional School District 08,Rham High School,2006-07,265,272.3,61.5,95.5,1.5,3,34,27.5,34,95.7,0.4,N/A,0,0.4,96.4,3.6
209,61,Regional School District 09,Joel Barlow High School,2006-07,240,282.1,75.8,96.7,1.7,1.7,20.8,29.2,46.7,99.2,0,N/A,0,0.4,99.6,0.4
210,61,Regional School District 10,Lewis S. Mills High School,2006-07,199,271.5,62.3,92.5,0,7.5,30.2,30.2,32.2,99.5,0.5,N/A,0,0,100,0
211,61,Regional School District 11,Parish Hill High School,2006-07,57,250.4,33.3,89.5,5.3,5.3,56.1,21.1,12.3,95,3.3,N/A,0,1.7,100,0
212,61,Regional School District 12,Shepaug Valley High School,2006-07,99,268,63.6,90.9,2,7.1,27.3,35.4,28.3,99,0,N/A,0,1,100,0
213,61,Regional School District 13,Coginchaug Regional High School,2006-07,128,272.2,68,95.3,0,4.7,27.3,36.7,31.3,95.5,1.5,N/A,0,0.7,97.8,2.2
214,61,Regional School District 14,Nonnewaug High School,2006-07,200,267.2,62,93.5,2,4.5,31.5,37.5,24.5,98,0,N/A,0,0.5,98.5,1.5
215,62,Regional School District 15,Pomperaug Regional High School,2006-07,324,271.7,68.5,95.4,0.9,3.7,26.9,38.3,30.2,99.1,0,N/A,0,0,99.1,0.9
216,60,Regional School District 16,Woodland Regional High School,2006-07,183,261.9,53,91.3,4.4,4.4,38.3,27.3,25.7,93.8,1,N/A,0,1,95.9,4.1
217,61,Regional School District 17,Haddam-Killingworth High School,2006-07,191,262.4,61.3,89.5,2.6,7.9,28.3,40.8,20.4,100,0,N/A,0,0,100,0
218,61,Regional School District 18,Lyme-Old Lyme High School,2006-07,117,272.8,61.5,94,0.9,5.1,32.5,30.8,30.8,100,0,N/A,0,0,100,0
219,61,Regional School District 19,E. O. Smith High School,2006-07,280,264.7,56.4,87.9,5.4,6.8,31.4,26.1,30.4,94.9,1.4,N/A,0,2,98.3,1.7
118,61,Ridgefield School District,Ridgefield High School,2006-07,438,289.2,82.2,97.7,0.7,1.6,15.5,29.9,52.3,98.9,0.2,N/A,0.2,0,99.3,0.7
119,61,Rocky Hill School District,Rocky Hill High School,2006-07,178,264.1,57.3,87.6,4.5,7.9,30.3,29.2,28.1,97.3,0.5,N/A,1.1,0,98.9,1.1
124,61,Seymour School District,Seymour High School,2006-07,263,247.2,35,81,3,16,46,26.2,8.7,94.9,0.7,N/A,0.4,3.2,99.3,0.7
126,61,Shelton School District,Shelton High School,2006-07,398,260,53.8,85.7,6.3,8,31.9,29.9,23.9,95.9,1.2,N/A,0,1,98.1,1.9
128,61,Simsbury School District,Simsbury High School,2006-07,382,288,82.2,97.4,1.3,1.3,15.2,33.8,48.4,97.9,1.3,N/A,0,0.3,99.5,0.5
129,61,Somers School District,Somers High School,2006-07,148,275.5,73,92.6,2,5.4,19.6,36.5,36.5,100,0,N/A,0,0,100,0
132,62,South Windsor School District,South Windsor High School,2006-07,409,268.5,63.3,90.7,2.9,6.4,27.4,33,30.3,97.6,0,N/A,0.5,1.4,99.5,0.5
131,62,Southington School District,Southington High School,2006-07,550,260.2,56.4,89.1,3.6,7.3,32.7,35.8,20.5,97.9,0.5,N/A,0,0.5,98.9,1.1
134,61,Stafford School District,Stafford High School,2006-07,147,262.9,55.8,88.4,4.1,7.5,32.7,29.3,26.5,97.4,2,N/A,0,0.7,100,0
282,60,Stamford Academy,Stamford Academy,2006-07,31,175,0,9.7,67.7,22.6,9.7,0,0,86.1,0,N/A,0,11.1,97.2,2.8
135,61,Stamford School District,Stamford High School,2006-07,398,227.1,25.4,60.6,21.9,17.6,35.2,14.8,10.6,95.2,1,N/A,3.1,0.2,99.5,0.5
135,64,Stamford School District,The Academy of Information Technology,2006-07,104,232.8,20.2,65.4,12.5,22.1,45.2,13.5,6.7,96.3,0,N/A,0,0.9,97.2,2.8
135,63,Stamford School District,Westhill High School,2006-07,501,236.7,30.5,65.7,15,19.4,35.1,15.2,15.4,92.4,1.7,N/A,4.2,0.4,98.7,1.3
137,61,Stonington School District,Stonington High School,2006-07,194,264.6,61.9,85.6,4.1,10.3,23.7,34,27.8,99,0,N/A,0,0.5,99.5,0.5
138,62,Stratford School District,Bunnell High School,2006-07,365,251.1,39.5,81.9,3,15.1,42.5,23.6,15.9,98.1,0.3,N/A,0,0.8,99.2,0.8
138,61,Stratford School District,Stratford High School,2006-07,216,227.8,21.3,62,14.4,23.6,40.7,16.7,4.6,95.6,1.3,N/A,0.9,0.4,98.2,1.8
139,61,Suffield School District,Suffield High School,2006-07,207,270.8,59.9,96.1,1.9,1.9,36.2,30,30,98.6,0,N/A,0,0,98.6,1.4
269,61,The Bridge Academy District,The Bridge Academy,2006-07,40,199,0,32.5,30,37.5,32.5,0,0,100,0,N/A,0,0,100,0
902,61,The Gilbert School,The Gilbert School,2006-07,100,243.3,33,83,7,10,50,22,11,97.1,0,N/A,0,1,98.1,1.9
140,62,Thomaston School District,Thomaston High School,2006-07,78,255.8,51.3,87.2,3.8,9,35.9,35.9,15.4,98.7,1.3,N/A,0,0,100,0
141,61,Thompson School District,Tourtellotte Memorial High School,2006-07,91,244.5,33,83.5,4.4,12.1,50.5,26.4,6.6,97.8,0,N/A,0,1.1,98.9,1.1
142,61,Tolland School District,Tolland High School,2006-07,198,274.2,71.7,93.9,2.5,3.5,22.2,35.9,35.9,99,0.5,N/A,0,0.5,100,0
143,61,Torrington School District,Torrington High School,2006-07,304,243.7,35.5,76,8.6,15.5,40.5,19.1,16.4,90.7,1.8,N/A,0.6,4.2,97.3,2.7
144,61,Trumbull School District,Trumbull High School,2006-07,507,265.1,56.8,88.8,3.6,7.7,32,30,26.8,97.9,1,N/A,0,0.2,99,1
347,1,Unified School District #2,Connecticut Children'S Place,2006-07,,,,,,,,,,,,,,,,
347,67,Unified School District #2,Connecticut Juvenile Training School,2006-07,35,186.9,8.6,22.9,51.4,25.7,14.3,8.6,0,83.3,0,N/A,0,16.7,100,0
347,65,Unified School District #2,High Meadows,2006-07,,,,,,,,,,,,,,,,
347,3,Unified School District #2,Riverview Hospital,2006-07,,,,,,,,,,,,,,,,
146,61,Vernon School District,Rockville High School,2006-07,304,249.8,42.8,77.6,7.6,14.8,34.9,26.3,16.4,98.7,0.3,N/A,0,0.3,99.4,0.6
148,90,Wallingford School District,A.R.T.S. Academy,2006-07,,,,,,,,,,,,,,,,
148,61,Wallingford School District,Lyman Hall High School,2006-07,301,254.9,47.2,83.7,5.3,11,36.5,29.2,17.9,99.3,0,N/A,0.3,0,99.7,0.3
148,62,Wallingford School District,Mark T. Sheehan High School,2006-07,246,261.3,54.5,89.8,2.4,7.7,35.4,32.5,22,95.7,0.4,N/A,0,1.6,97.7,2.3
151,62,Waterbury School District,Crosby High School,2006-07,300,208.7,13,45.7,31.7,22.7,32.7,9.7,3.3,90.1,0.9,N/A,1.2,3.3,95.5,4.5
151,91,Waterbury School District,Enlightenment School,2006-07,27,194.7,0,37,33.3,29.6,37,0,0,73,0,N/A,0,16.2,89.2,10.8
151,64,Waterbury School District,John F. Kennedy High School,2006-07,324,223.3,17.9,56.5,19.1,24.4,38.6,13.3,4.6,94.2,0.9,N/A,0.9,1.5,97.4,2.6
151,90,Waterbury School District,State Street School,2006-07,,,,,,,,,,,,,,,,
151,60,Waterbury School District,Waterbury Arts Magnet School (High),2006-07,111,233.6,15.3,73,8.1,18.9,57.7,13.5,1.8,99.1,0,N/A,0,0,99.1,0.9
151,63,Waterbury School District,Wilby High School,2006-07,272,198.9,7.4,32.4,40.1,27.6,25,5.1,2.2,92.8,1.7,N/A,2,1.4,98,2
152,61,Waterford School District,Waterford High School,2006-07,242,261.6,51.7,89.7,2.1,8.3,38,31.4,20.2,97.6,1.6,N/A,0,0,99.2,0.8
153,61,Watertown School District,Watertown High School,2006-07,241,255.6,52.3,87.6,5.8,6.6,35.3,34.9,17.4,93.4,1.2,N/A,0,4.7,99.2,0.8
155,61,West Hartford School District,Conard High School,2006-07,337,260.4,51.3,83.1,5.3,11.6,31.8,26.7,24.6,98,0.3,N/A,0.3,0.3,98.8,1.2
155,62,West Hartford School District,Hall High School,2006-07,393,267.7,61.8,90.3,4.1,5.6,28.5,29.8,32.1,97.3,0.7,N/A,0.2,1,99.3,0.7
